Column1,cbe_number,cbe_number_formatted,denomination,denomination_with_legal_form,juridical_form,juridical_form_short,juridical_form_id,start_date,address.street,address.street_number,address.box,address.post_code,address.city,address.full_address,contact_infos.email,contact_infos.phone,contact_infos.web,Company Name,valid address
32,451781854,451.781.854,ACROS ORGANICS,ACROS ORGANICS SRL,Société à responsabilité limitée,SRL,129,14/01/1994,Janssen-Pharmaceuticalaan,3,A,2440,Geel,Janssen-Pharmaceuticalaan 3 A 2440 Geel,,,,ACROS ORGANICS,Yes
33,433344035,433.344.035,Actief Interim,Actief Interim SA,Société anonyme,SA,12,15/02/1988,Bosstraat,67,2,3560,Lummen,Bosstraat 67 2 3560 Lummen,,,,Actief Interim,Yes
34,458352912,458.352.912,PESTICIDES ACTION NETWORK (BELGIUM),PESTICIDES ACTION NETWORK (BELGIUM) ASBL,Association sans but lucratif,ASBL,15,06/03/1996,Rue du Prévôt,131,,1050,Ixelles,Rue du Prévôt 131 1050 Ixelles,,,,Action Belgium,Yes
35,551901987,551.901.987,"EAST BELGIUM ACTION, FUN & KARTING CENTER","EAST BELGIUM ACTION, FUN & KARTING CENTER SPRL",Société privée à responsabilité limitée,SPRL,13,29/04/2014,Kerpener Strasse,5,0/3,4780,Sankt Vith,Kerpener Strasse 5 0/3 4780 Sankt Vith,,,,Action Belgium,No
36,400624648,400.624.648,ADB SAFEGATE,ADB SAFEGATE SRL,Société à responsabilité limitée,SRL,129,01/03/1937,Leuvensesteenweg,585,,1930,Zaventem,Leuvensesteenweg 585 1930 Zaventem,,,,ADB SAFEGATE,Yes
37,678489165,678.489.165,ADB Safegate Luxembourg 2 S.a.r.l.,ADB Safegate Luxembourg 2 S.a.r.l.,Entité étrangère,,27,12/07/2017,avenue Charles de Gaulle,2,,1653,Luxembourg,avenue Charles de Gaulle 2 1653 Luxembourg,,,,ADB SAFEGATE,No
38,678588442,678.588.442,ADB SAFEGATE BELGIUM,ADB SAFEGATE BELGIUM SRL,Société à responsabilité limitée,SRL,129,14/07/2017,Leuvensesteenweg,585,,1930,Zaventem,Leuvensesteenweg 585 1930 Zaventem,,,,ADB SAFEGATE,Yes
39,404221962,404.221.962,ADECCO PERSONNEL SERVICES,ADECCO PERSONNEL SERVICES SA,Société anonyme,SA,12,28/09/1961,Noordkustlaan,16,b,1702,Dilbeek,Noordkustlaan 16 b 1702 Dilbeek,,,,ADECCO PERSONNEL SERVICES,Yes
40,425815647,425.815.647,Advices for Technical Systems,Advices for Technical Systems SA,Société anonyme,SA,12,17/05/1984,Karel De Roosestraat,15,,9820,Merelbeke,Karel De Roosestraat 15 9820 Merelbeke,,,,Advices for Technical Systems,Yes
41,440535396,440.535.396,A&E,A&E SRL,Société à responsabilité limitée,SRL,129,03/04/1990,Weg naar As,155,,3600,Genk,Weg naar As 155 3600 Genk,,,,AE,Yes
42,466550303,466.550.303,AE,AE SA,Société anonyme,SA,12,28/07/1999,Interleuvenlaan,27B,,3001,Leuven,Interleuvenlaan 27B 3001 Leuven,,,,AE,Yes
43,645654962,645.654.962,AE INVEST,AE INVEST SPRL,Société privée à responsabilité limitée,SPRL,13,06/01/2016,Clos du Petit Mayeur,8,,1380,Lasne,Clos du Petit Mayeur 8 1380 Lasne,,,,AE,No
44,647968017,647.968.017,"Deel VME van het Gebouwencomplex Rijkswachtkazerne, GEBOUW A-E, te 2000 Antwerpen, Korte Vlierstraat 6-14 en Kloosterstraat 71-75 en 99","Deel VME van het Gebouwencomplex Rijkswachtkazerne, GEBOUW A-E, te 2000 Antwerpen, Korte Vlierstraat 6-14 en Kloosterstraat 71-75 en 99 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,02/03/2016,Korte Vlierstraat,Jun-14,,2000,Antwerpen,Korte Vlierstraat 6-14 2000 Antwerpen,,,,AE,Yes
45,661738354,661.738.354,AE Creative home concept,AE Creative home concept SRL,Société à responsabilité limitée,SRL,129,26/08/2016,Smisstraat(STG),17,,9200,Dendermonde,Smisstraat(STG) 17 9200 Dendermonde,,,,AE,No
46,662373705,662.373.705,AE PROJECT SOLUTIONS,AE PROJECT SOLUTIONS SComm,Société en commandite,SComm,130,01/09/2016,Het Einde,33,,2370,Arendonk,Het Einde 33 2370 Arendonk,,,,AE,Yes
47,666396136,666.396.136,BTW-eenheid AE,BTW-eenheid AE Unité TVA,Unité TVA,Unité TVA,3,01/12/2016,Industriedijk,14,,2300,Turnhout,Industriedijk 14 2300 Turnhout,,,,AE,Yes
48,666579050,666.579.050,AE PLEISTERWERK,AE PLEISTERWERK SRL,Société à responsabilité limitée,SRL,129,22/11/2016,Europaplein(E),4A,3,3630,Maasmechelen,Europaplein(E) 4A 3 3630 Maasmechelen,,,,AE,No
49,670920888,670.920.888,A&E Bouw,A&E Bouw SRL,Société à responsabilité limitée,SRL,129,09/02/2017,Gustaaf De Smetlaan,10,,2630,Aartselaar,Gustaaf De Smetlaan 10 2630 Aartselaar,,,,AE,Yes
50,677923793,677.923.793,Gebroeders AE,Gebroeders AE SPRL,Société privée à responsabilité limitée,SPRL,13,05/07/2017,Jules Moretuslei,307,,2610,Antwerpen,Jules Moretuslei 307 2610 Antwerpen,,,,AE,Yes
51,403003524,403.003.524,Agfa HealthCare,Agfa HealthCare SA,Société anonyme,SA,12,06/08/1950,Septestraat,27,,2640,Mortsel,Septestraat 27 2640 Mortsel,,,,Agfa HealthCare,Yes
52,478971449,478.971.449,Agilitas Group,Agilitas Group SA,Société anonyme,SA,12,17/12/2002,Stationsstraat,120,,2800,Mechelen,Stationsstraat 120 2800 Mechelen,,,,Agilitas Group,Yes
53,425038558,425.038.558,AGRISTO,AGRISTO SA,Société anonyme,SA,12,20/12/1983,Ridder de Ghellinckstraat,9,,8710,Wielsbeke,Ridder de Ghellinckstraat 9 8710 Wielsbeke,,,,AGRISTO,Yes
54,432330978,432.330.978,AGRISTO NAZARETH,AGRISTO NAZARETH SA,Société anonyme,SA,12,06/11/1987,Venecoweg,12,,9810,Nazareth,Venecoweg 12 9810 Nazareth,,,,AGRISTO,Yes
55,457652730,457.652.730,AIR LIQUIDE INDUSTRIES BELGIUM,AIR LIQUIDE INDUSTRIES BELGIUM SA,Société anonyme,SA,12,29/03/1996,Avenue du Bourget,44,,1130,Bruxelles,Avenue du Bourget 44 1130 Bruxelles,christelle.delat@airliquide.com,486980153,,AIR LIQUIDE INDUSTRIES BELGIUM,Yes
56,402052330,402.052.330,Air Products,Air Products SA,Société anonyme,SA,12,18/12/1964,Leonardo da Vincilaan,19C,4,1831,Machelen (Brab.),Leonardo da Vincilaan 19C 4 1831 Machelen (Brab.),lefevek@airproducts.com,3226749404,,Air Products,Yes
57,419157091,419.157.091,Air Products Nitrogen Services,Air Products Nitrogen Services Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,05/02/1979,West Tenth Street,100,,,Wilmington Delaware,West Tenth Street 100 Wilmington Delaware,,,,Air Products,No
58,419506588,419.506.588,Air Products Nederland,Air Products Nederland Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,04/07/1979,Noordkade,100,,2741 GA,Waddinxveen,Noordkade 100 2741 GA Waddinxveen,,,,Air Products,No
59,436878991,436.878.991,AIR PRODUCTS MANAGEMENT,AIR PRODUCTS MANAGEMENT SRL,Société à responsabilité limitée,SRL,129,24/02/1989,Leonardo da Vincilaan,19C,4,1831,Machelen (Brab.),Leonardo da Vincilaan 19C 4 1831 Machelen (Brab.),,,,Air Products,Yes
60,437240663,437.240.663,Air Products PLC,Air Products PLC Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,21/04/1989,Hersham Place Molesey road,,,,Walton on Thames,Hersham Place Molesey road Walton on Thames,,,,Air Products,No
61,447730917,447.730.917,AIR PRODUCTS SA,AIR PRODUCTS SA Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,13/07/1992,Centre Paris Pleyel,,,,Saint Denis,Centre Paris Pleyel Saint Denis,,,,Air Products,No
62,465492211,465.492.211,AIR PRODUCTS AND CHAMICALS INC.,AIR PRODUCTS AND CHAMICALS INC. Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,25/03/1999,Hamilton Boulevard,7201,,,Allentown,Hamilton Boulevard 7201 Allentown,,,,Air Products,No
63,466323936,466.323.936,AIR PRODUCTS (CHEMICALS) TESSIDE  LTD,AIR PRODUCTS (CHEMICALS) TESSIDE  LTD Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,09/07/1999,"Hersham Place, Molesey Road, 41-",,,,Walton on Thames,"Hersham Place, Molesey Road, 41- Walton on Thames",,,,Air Products,No
64,501757838,501.757.838,Air Products SAS,Air Products SAS,Entité étrangère,,27,15/08/2010,Rue Championnet,78,,75018,Paris Cedex 18,Rue Championnet 78 75018 Paris Cedex 18,,,,Air Products,No
65,647658112,647.658.112,Air Products (Chemicals) Public Ltd,Air Products (Chemicals) Public Ltd,Entité étrangère,,27,01/03/2016,Harsham Pl Techn Park Molesey R,0,,KT12 4RZ,Walton-on-Thames,Harsham Pl Techn Park Molesey R 0 KT12 4RZ Walton-on-Thames,,,,Air Products,No
66,403078352,403.078.352,AJINOMOTO OMNICHEM,AJINOMOTO OMNICHEM SA,Société anonyme,SA,12,19/04/1946,Cooppallaan,91,,9230,Wetteren,Cooppallaan 91 9230 Wetteren,,,,AJINOMOTO OMNICHEM,Yes
67,435968478,435.968.478,Akkodis Belgium,Akkodis Belgium SA,Société anonyme,SA,12,30/11/1988,Avenue Jules Bordet,168,,1140,Evere,Avenue Jules Bordet 168 1140 Evere,,,,Akkodis Belgium,Yes
68,405746050,405.746.050,AKZO NOBEL PAINTS BELGIUM,AKZO NOBEL PAINTS BELGIUM SA,Société anonyme,SA,12,16/03/1904,Leuvensesteenweg,248,B,1800,Vilvoorde,Leuvensesteenweg 248 B 1800 Vilvoorde,,,,AKZO NOBEL PAINTS BELGIUM,Yes
69,437892147,437.892.147,HEIJN ALBERT,HEIJN ALBERT Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,31/07/1989,Ankersmidplein,2,,1506 CK,Zaandam,Ankersmidplein 2 1506 CK Zaandam,,,,Albert Heijn België,No
70,402134977,402.134.977,Alcon - Couvreur,Alcon - Couvreur SA,Société anonyme,SA,12,01/01/1962,Rijksweg,14,,2870,Puurs-Sint-Amands,Rijksweg 14 2870 Puurs-Sint-Amands,,,,Alcon - Couvreur,Yes
71,403837823,403.837.823,Aldi,Aldi SA,Société anonyme,SA,12,15/02/1948,Veedijk,49,,2300,Turnhout,Veedijk 49 2300 Turnhout,,,,Aldi,Yes
72,414881767,414.881.767,ALDI,ALDI SA,Société anonyme,SA,12,06/05/1975,Kachtemsestraat,200,,8800,Roeselare,Kachtemsestraat 200 8800 Roeselare,,,,Aldi,Yes
73,422096389,422.096.389,ALDI,ALDI SA,Société anonyme,SA,12,09/11/1981,Keerstraat,4,,9420,Erpe-Mere,Keerstraat 4 9420 Erpe-Mere,MIKE.GOOSSENS@ALDI.BE,3253827881,WWW.ALDI.BE,Aldi,Yes
74,425282642,425.282.642,Aldi,Aldi SA,Société anonyme,SA,12,21/12/1983,"Ch.Château-de-Golzinnes,Isnes",10,,5032,Gembloux,"Ch.Château-de-Golzinnes,Isnes 10 5032 Gembloux",,,,Aldi,No
75,428805821,428.805.821,ALDI INKOOP,ALDI INKOOP SA,Société anonyme,SA,12,17/04/1986,Keerstraat,4,,9420,Erpe-Mere,Keerstraat 4 9420 Erpe-Mere,,,,Aldi,Yes
76,445596125,445.596.125,ALDI,ALDI SA,Société anonyme,SA,12,04/11/1991,Boterbosstraat,9,,3550,Heusden-Zolder,Boterbosstraat 9 3550 Heusden-Zolder,,,,Aldi,Yes
77,449913318,449.913.318,ALDI,ALDI SA,Société anonyme,SA,12,23/04/1993,Parc artisanal de Villeroux,4,,6640,Vaux-sur-Sûre,Parc artisanal de Villeroux 4 6640 Vaux-sur-Sûre,,,,Aldi,No
78,456815659,456.815.659,ALDI HOLDING,ALDI HOLDING SA,Société anonyme,SA,12,22/12/1995,Keerstraat,4,,9420,Erpe-Mere,Keerstraat 4 9420 Erpe-Mere,,,,Aldi,Yes
79,465569910,465.569.910,ALDI,ALDI SA,Société anonyme,SA,12,03/03/1999,Erasmuslaan,20,,1804,Zemst,Erasmuslaan 20 1804 Zemst,,,,Aldi,No
80,633846104,633.846.104,BTW-EENHEID ALDI,BTW-EENHEID ALDI Unité TVA,Unité TVA,Unité TVA,3,01/08/2015,Keerstraat,4,,9420,Erpe-Mere,Keerstraat 4 9420 Erpe-Mere,,053/82.72.89,,Aldi,Yes
81,424664713,424.664.713,Alken-Maes All Services,Alken-Maes All Services SA,Société anonyme,SA,12,05/09/1983,Blarenberglaan,3C,2,2800,Mechelen,Blarenberglaan 3C 2 2800 Mechelen,,,,Alken-Maes,Yes
82,508449056,508.449.056,ALLIA INSURANCE BROKERS,ALLIA INSURANCE BROKERS SA,Société anonyme,SA,12,06/12/2012,Kwadestraat,157,51,8800,Roeselare,Kwadestraat 157 51 8800 Roeselare,,,,ALLIA INSURANCE BROKERS,Yes
83,643560356,643.560.356,Allnex Holdings S.à r.l.,Allnex Holdings S.à r.l.,Entité étrangère,,27,29/09/2015,Grand Rue,76,,1660,Luxemburg,Grand Rue 76 1660 Luxemburg,,,,ALLNEX BELGIUM,No
84,643980723,643.980.723,ALLNEX  NORWAY AS,ALLNEX  NORWAY AS,Entité étrangère,,27,09/12/2015,SVELLEVEIEN,33,,2004,LILLESTROM,SVELLEVEIEN 33 2004 LILLESTROM,+47 63897200,+47 63897200,,ALLNEX BELGIUM,No
85,445781316,445.781.316,ALPHA CREDIT,ALPHA CREDIT SA,Société anonyme,SA,12,28/11/1991,Rue Montagne du Parc,8,3,1000,Bruxelles,Rue Montagne du Parc 8 3 1000 Bruxelles,,,,ALPHA CREDIT,Yes
86,438973597,438.973.597,ALPHABET BELGIUM LONG TERM RENTAL,ALPHABET BELGIUM LONG TERM RENTAL SA,Société anonyme,SA,12,24/11/1989,Ingberthoeveweg,6,,2630,Aartselaar,Ingberthoeveweg 6 2630 Aartselaar,,,,ALPHABET BELGIUM LONG TERM RENTAL,Yes
87,420429375,420.429.375,ALPRO,ALPRO SA,Société anonyme,SA,12,27/05/1980,Vlamingstraat,28,,8560,Wevelgem,Vlamingstraat 28 8560 Wevelgem,,,,ALPRO,Yes
88,422678785,422.678.785,ALPROCO,ALPROCO SPRL,Société privée à responsabilité limitée,SPRL,13,,Stadswaag,14,,2000,Antwerpen,Stadswaag 14 2000 Antwerpen,,,,ALPRO,Yes
89,445093408,445.093.408,AL-PRO TRANS,AL-PRO TRANS SPRL,Société privée à responsabilité limitée,SPRL,13,17/09/1991,Berrélei,20,,2930,Brasschaat,Berrélei 20 2930 Brasschaat,,,,ALPRO,Yes
90,457983124,457.983.124,Alpro Foundation,Alpro Foundation ASBL,Association sans but lucratif,ASBL,15,23/02/1996,Vlamingstraat,28,,8560,Wevelgem,Vlamingstraat 28 8560 Wevelgem,,,,ALPRO,Yes
91,476296328,476.296.328,ALPROSA,ALPROSA SRL,Société à responsabilité limitée,SRL,129,11/12/2001,Rue Daumerie,70,,1471,Genappe,Rue Daumerie 70 1471 Genappe,alprosageo@hotmail.com,,,ALPRO,No
92,670517745,670.517.745,Alpro Nederland B.V.,Alpro Nederland B.V.,Entité étrangère,,27,01/01/2017,Hoge Mosten,22,,4822NH,Breda,Hoge Mosten 22 4822NH Breda,,,,ALPRO,No
93,670517844,670.517.844,Alpro Uk Ltd.,Alpro Uk Ltd.,Entité étrangère,,27,,"Latimer Business Park, Altendiez",-,,NN15 5YT,Northamtonshire,"Latimer Business Park, Altendiez - NN15 5YT Northamtonshire",,,,ALPRO,No
94,404000446,404.000.446,Altrad Services,Altrad Services SA,Société anonyme,SA,12,01/01/1968,Aven Ackers(VER),10,,9130,Beveren,Aven Ackers(VER) 10 9130 Beveren,,,,Altrad Services,Yes
95,403045292,403.045.292,Aluminium Duffel,Aluminium Duffel SRL,Société à responsabilité limitée,SRL,129,23/05/1946,A. Stocletlaan,87,,2570,Duffel,A. Stocletlaan 87 2570 Duffel,info.duffel@aluminiumduffel.com,+32 15 302111,www.alvancealuminiumduffel.com,Aluminium Duffel,Yes
96,403526730,403.526.730,AMCOR FLEXIBLES TRANSPAC,AMCOR FLEXIBLES TRANSPAC SRL,Société à responsabilité limitée,SRL,129,01/01/1929,Ottergemsesteenweg-Zuid,801,,9000,Gent,Ottergemsesteenweg-Zuid 801 9000 Gent,,092 408 211,WWW.AMCOR.COM,AMCOR FLEXIBLES TRANSPAC,Yes
97,418975266,418.975.266,Amplifon Belgium,Amplifon Belgium SA,Société anonyme,SA,12,05/12/1978,Alfons Gossetlaan,40,1,1702,Dilbeek,Alfons Gossetlaan 40 1 1702 Dilbeek,waterloo_be@amplifon.com,02 345 97 43,,Amplifon Belgium,Yes
98,420246659,420.246.659,Anglo Belgian Corporation,Anglo Belgian Corporation SA,Société anonyme,SA,12,27/03/1980,Wiedauwkaai,43,,9000,Gent,Wiedauwkaai 43 9000 Gent,,,,Anglo Belgian Corporation,Yes
99,437593328,437.593.328,ANSELL HEALTHCARE EUROPE,ANSELL HEALTHCARE EUROPE SA,Société anonyme,SA,12,26/05/1989,Boulevard International,55,,1070,Anderlecht,Boulevard International 55 1070 Anderlecht,,,,ANSELL HEALTHCARE EUROPE,Yes
100,534776242,534.776.242,ANTARGAZ SA,ANTARGAZ SA,Entité étrangère,,27,01/06/2013,PLACE DE SAVERNE,3,,92901,PARIS LA DEFENSE CEDEX,PLACE DE SAVERNE 3 92901 PARIS LA DEFENSE CEDEX,,+33 141887000,,ANTARGAZ  BELGIUM,No
