UID,Company Name,Basisnaam,Salesnav,tRIfINACN,Textkernal ,Bizzy,Company Website,Company Domain,Domein,Company Industry,Company Specialities,Company Employee Count,Company Employee Range,Company Location,Company Linkedin URL,Company Type,Company Year Founded,Company Profile Picture,Company Description,In List?
SN11,Baloise Be,baloisebe,Salesnav,TriFinance,#N/A,#N/A,https://www.baloise.be,www.baloise.be,baloise,Insurance,"verzekeringen, assurances",1589,1001 to 5000,"Antwerp, Flemish Region, Belgium",https://www.linkedin.com/company/164933,Privately Held,?,https://media.licdn.com/dms/image/v2/D4E0BAQFk8UuDtovSEQ/company-logo_400_400/company-logo_400_400/0/1666853778547/baloise_be_logo?e=1733961600&v=beta&t=D9qLY-I1IWmE-yzprvBzRessY-tSBnJZDZhqrIpCWU8,"Baloise is een verzekeringsmaatschappij die een lange ervaring en rijke geschiedenis koppelt aan de zin voor ondernemen en innovatie. Bij alles wat we doen, staat de klant centraal. Alle talenten zijn welkom en samen gaan we voor de beste resultaten.

We bouwen iedere dag aan een duurzame samenwerking met onze partners, de onafhankelijke makelaars, om zowel particulieren als ondernemingen passende verzekeringsoplossingen aan te bieden.

Baloise BE maakt deel uit van de Zwitserse Baloise Group. We willen bijdragen aan een veiligere wereld voor al onze stakeholders: onze klanten, onze makelaars, onze medewerkers en onze aandeelhouders. 

     -----

Baloise est une compagnie d'assurances qui combine une longue et riche histoire au sens de l'entrepreneuriat et de l'innovation. Dans tout ce que nous faisons, nous faisons du client notre priorité. Tous les talents sont les bienvenus et ensemble, nous visons les meilleurs résultats.

Chaque jour, nous contribuons à développer une collaboration durable avec nos partenaires, les courtiers indépendants, dans le but d'offrir aux particuliers et aux entreprises des solutions d'assurances adaptées à leurs besoins. 

Baloise BE fait partie du Baloise Group établi en Suisse. Nous souhaitons contribuer à un monde plus sûr pour tous nos partenaires: nos clients, courtiers, collaborateurs et actionnaires.",Yes
SN12,Barry Callebaut Belgium N.V.,barrycallebaut,Salesnav,TriFinance,#N/A,#N/A,?,?,,Food Production,?,56,?,"Lebbeke, Flemish Region, Belgium",https://www.linkedin.com/company/22726288,?,?,?,"Barry Callebaut Belgium N.V. is a food production company based out of Aalstersestraat 122Wieze, Lebbeke, Belgium.",Yes
SN13,Bdo,bdo,Salesnav,,#N/A,Consultancy,http://www.bdo.global,www.bdo.global,bdo,Accounting,"Audit, Tax, Advisory, Business Services & Outsourcing",15969,10001+,"Zaventem, Flemish Region, Belgium",https://www.linkedin.com/company/2756919,Privately Held,?,https://media.licdn.com/dms/image/v2/D4E0BAQHDaK7rSTq7lg/company-logo_400_400/company-logo_400_400/0/1718977121554/bdo_international_logo?e=1733961600&v=beta&t=BPG0EVo1FHwyuJE8gx78vrimFF0knit5JKWrWlD0i7U,"BDO is the leading provider of professional services within the mid-tier of our profession. We are proud to deliver seamless client service, from 1658 offices in 167 countries, across the world. Our 91K+ professionals continuously transform our approach by embracing future-oriented technology and focusing on quality. Strategic decisions and investments made in recent years have further equipped the organisation with the global infrastructure and innovative solutions needed to deliver long-term value for our clients.

As a purpose-driven organisation, we do better. 
",Yes
SN14,Bluecrux,bluecrux,Salesnav,,#N/A,Consultancy + vacatures,https://bluecrux.com/,bluecrux.com,bluecrux,Business Consulting and Services,"Supply Chain Planning, Manufacturing Optimization, Distribution Optimization, Workforce Planning, Customer Management, Business Transformation, Digital Supply Chain, Resource Planning, Operations",247,201 to 500,"Mechelen, Flemish Region, Belgium",https://www.linkedin.com/company/10322862,Privately Held,2011,https://media.licdn.com/dms/image/v2/D4E0BAQENh81BzcXY8A/company-logo_400_400/company-logo_400_400/0/1704983345035/bluecrux_logo?e=1733961600&v=beta&t=0G8PkqvWaiJpYbTLAVqpfCEYFvXFHN_qU2hYHg3JeO0,"We’re Bluecrux. Pleased to meet you!

Founded in 2011, Bluecrux is a value chain consulting and technology company. Our experts and software solutions help to transform today’s supply chains into smart, efficient, and fully integrated value chains. We believe that only true collaboration leads to innovation, by converging at the intersection of our knowledge and our customers’ ambition and linking expertise with technology and problems with solutions. 

We’re a community, a movement that’s built at this intersection, which we call 'the Cutting X': it’s where supply chains evolve and value chains are forged.  

Our client portfolio includes some of the world's largest companies, including Johnson & Johnson, GSK, Roche, Bridgestone, AkzoNobel, Beiersdorf, Oatly, and many more. Our desire to work closely with them is also reflected in our global presence, with offices in Europe, Asia-Pacific and the US. ",Yes
SN15,Boortmalt,boortmalt,Salesnav,TriFinance,#N/A,#N/A,https://www.boortmalt.com,www.boortmalt.com,boortmalt,Food and Beverage Manufacturing,"Malts, Craft Malt, Sustainability, Innovation, Malt",688,1001 to 5000,"Antwerp, Flemish Region, Belgium",https://www.linkedin.com/company/735889,Privately Held,1927,https://media.licdn.com/dms/image/v2/C560BAQHcBF5DY55tRQ/company-logo_400_400/company-logo_400_400/0/1630660230163/boortmalt_logo?e=1733961600&v=beta&t=svB_EMhj6f-Ih_WJA7TSUWylObvZm3K2ICSEa7-GBuY,"BOORTMALT is a global malting company with a 3 million tonnes production capacity. The group is present on 5 continents with 27 malting plants. Boortmalt’s expertise is widely acknowledged by brewers, distillers, and food industries, who rely on the supply of top-quality barley malts.

The Boortmalt Group is a fully owned subsidiary of the agricultural and agribusiness cooperative Axereal. Our relationship with Axereal, Europe’s largest grain cooperative, ensures us access to high-quality barley year-round.",Yes
SN16,Bridgestone Emea,bridgestoneemea,Salesnav,TriFinance,#N/A,#N/A,https://www.bridgestone-emea.com,www.bridgestone-emea.com,bridgestone-emea,Motor Vehicle Manufacturing,"Tyre and Rubber Manufacturing, Automotive, Mobility",4773,10001+,"Zaventem, Flemish Region, Belgium",https://www.linkedin.com/company/391353,Public Company,?,https://media.licdn.com/dms/image/v2/C560BAQGSpqXBktdOFQ/company-logo_400_400/company-logo_400_400/0/1631330556083?e=1733961600&v=beta&t=6mdQNucuaoyKJA0-Fd-D8PrZdTomwz05ZK1vdsSyjr4,"Bridgestone in Europe, the Middle East and Africa (Bridgestone EMEA) is the regional Strategic Business Unit of Bridgestone Corporation, a global leader in premium tyres and sustainable mobility solutions. 

Headquartered in Zaventem (Belgium), Bridgestone EMEA employs more than 14,000 people and conducts business in 35 countries across the region. Bridgestone EMEA operates 13 tyre plants, a major R&D centre, and a proving ground, and serves its customers in an extensive retail network with thousands of touchpoints.  

Bridgestone offers a diverse portfolio of premium tyres, tyre technologies and advanced mobility solutions. The company’s vision is to provide social and customer value as a sustainable solutions company. The Bridgestone E8 Commitment is a broad, global corporate commitment that clearly defines the value the company is promising to deliver to society, our customers and future generations in eight focus areas; Energy, Ecology, Efficiency, Extension, Economy, Emotion, Ease and Empowerment. These provide a compass to guide strategic priorities, decision making and actions throughout every area of the business. 

For more information about Bridgestone, please visit www.bridgestone.com and press.bridgestone-emia.com",Yes
SN17,Brussels Airlines,brusselsairlines,Salesnav,TriFinance,#N/A,#N/A,http://www.brusselsairlines.com,www.brusselsairlines.com,brusselsairlines,Airlines and Aviation,"Africa, Aviation, Belgium, Brussels",2774,1001 to 5000,"Machelen, Flemish Region, Belgium",https://www.linkedin.com/company/11097,Privately Held,2002,https://media.licdn.com/dms/image/v2/D4E0BAQEyxOhBksLOyw/company-logo_400_400/company-logo_400_400/0/1688367946270/brussels_airlines_logo?e=1733961600&v=beta&t=bTFKU-a70EUbmLp9HP5FlBZ3MwciXeZiZ4cogdyU-_U,"Brussels Airlines is the home carrier of Belgium and one of the four network airlines of the Lufthansa Group. It connects the European capital from Brussels Airport with over 85 destinations, 17 of which are in Sub Saharan Africa. The company employs 3,100 people and operates 41 aircraft.

Brussels Airlines aims to emit 50% less CO2 by 2030 compared to 2019 and plans to be carbon neutral by 2050. The airline is participating in the Stargate Project led by Brussels Airport and is therefore part of the testing ground for sustainable aviation at its home base. In addition, the airline signed the Circular Economy agreement of the Antwerp Management School in 2021. In 2023, Brussels Airlines welcomes three state-of-the-art Airbus A320neo allowing the airline to significantly lower its CO2- and noise-emissions on its medium-haul network. Next to that, the airline aims to operate its first flight using Sustainable Aviation fuel (SAF) by 2023.

As an ambassador of its country, Brussels Airlines brings the world to Belgium and the best of Belgium to the world, among others through collaborations with Belgian Star Chefs, Belgian culinary products and the  Belgian Icons, specially painted aircraft that honor a Belgian iconic person, team or event to promote Belgian culture worldwide.",Yes
SN18,Brussels Airport,brusselsairport,Salesnav,TriFinance,#N/A,>30 vacatures,http://www.brusselsairport.be,www.brusselsairport.be,brusselsairport,Airlines and Aviation,"International Airport, Leisure travel, Business travel, Cargo",1281,1001 to 5000,"Zaventem, Flemish Region, Belgium",https://www.linkedin.com/company/11139,Privately Held,?,https://media.licdn.com/dms/image/v2/D4E0BAQESQKRv_3gO5w/company-logo_400_400/company-logo_400_400/0/1711181643911?e=1733961600&v=beta&t=-Z-95Cn5eeoDtZ4_8DQwrVYXeRt8_sKwhat7A3Vk7OQ,"Brussels Airport is one of the largest airports in Europe, handling 19 million passengers and 776,000 tonnes of freight annually. Brussels Airport connects Belgium directly with 200 destinations worldwide, offered by 70 different airlines (figures 2022).

With more than 1000 employees, Brussels Airport Company shapes one of the most important airports in Europe. 

Brussels Airport has grown into a strong economic hub in the heart of Europe, creating 64,000 direct and indirect jobs.",Yes
SN19,Burger Brands Belgium,burgerbrands,Salesnav,,#N/A,#N/A,http://www.quick.be,www.quick.be,quick,Restaurants,"Giant, Supreme, Whopper, Steakhouse, The Masters",189,501 to 1000,"Antwerp, Flemish Region, Belgium",https://www.linkedin.com/company/5369646,Public Company,1971,https://media.licdn.com/dms/image/v2/C560BAQH5uOEVJ5F2Aw/company-logo_400_400/company-logo_400_400/0/1630656986437/burger_brands_belgium_logo?e=1733961600&v=beta&t=5JTFXSmaKgtYGMx-9cftPv29Rv_ve2NcU9TE7D0prZY,"Burger Brands Belgium NV/SA is a Belgian company that operates the famous brands Quick and Burger King® in Belgium and Luxembourg. Burger Brands Belgium NV/SA has a dedicated team of approximately 100 employees, Flemish and French speaking, based in their headquarters in Antwerp. As a company with a dynamic, young and innovative spirit, Burger Brands Belgium is looking for entrepreneurial and active job candidates to take up new challenges. 
Burger Brands Belgium NV/SA proudly manages both brands in parallel by giving a new dynamic to Quick and by launching in Belgium the – long-expected – brand Burger King® in the near future.

About Quick brand: founded in 1971 in Belgium, Quick opened the first ever burger restaurant in the country and has been since then the No 1 hamburger chain in Belgium, famous for its iconic Giant.

About Burger King®: founded in 1954, Burger King® is the second largest hamburger chain in the world with its no less iconic Whopper®. Burger King® will open its first restaurants in Belgium in 2017.",Yes
SN20,Carglass Belgium,carglass,Salesnav,TriFinance,10,#N/A,https://www.carglass.be/,www.carglass.be,carglass,Motor Vehicle Manufacturing,"Autoruit herstellen, Autoruit vervangen, windscreen repair, windscreen replacement, vehicle glass repair and replacement",291,1001 to 5000,"Hasselt, Flemish Region, Belgium",https://www.linkedin.com/company/3275060,Public Company,1988,https://media.licdn.com/dms/image/v2/C4E0BAQFsiEqoDIsrOw/company-logo_400_400/company-logo_400_400/0/1630571705077/carglassbelgie_logo?e=1733961600&v=beta&t=wU10EG1oysUkl4oLv1FouKMzRBDGvBbv5q9hBV-zRgE,"Carglass® Belgium is the specialist in vehicle glass repair and replacement. Yearly we serve more than 300.000 customers 24 hours a day, 7 days a week, 365 days per year.

Carglass® is part of Belron®, the world leader in vehicle glass repair and replacement, with branches in more than 30 countries across six continents serving over 15 million customers. Belron® part of the Begian D’Ieteren group D’Ieteren Group, Clayton, Dubilier & Rice (CD&R), Hellman & Friedman, GIC and BlackRock Private Equity Partners.

HQ: 
Herkenrodesingel 14, 3500 Hasselt
VAT: BE0432023845
OR: 432023845
info@carglass.be
",Yes
SN21,Carrefour Belgium,carrefour,Salesnav,TriFinance,22,#N/A,https://www.carrefour.be,www.carrefour.be,carrefour,Retail,"Retail, Shops, Food, Logistics, Ecommerce, Digital, CMI, Big Data, Winkel, Magasin, Verkoop, Ventes",1177,10001+,"Zaventem, Flemish Region, Belgium",https://www.linkedin.com/company/23949426,Privately Held,?,https://media.licdn.com/dms/image/v2/C4E0BAQFv87ykdbD-lQ/company-logo_400_400/company-logo_400_400/0/1673432565447/carrefourbelgium_logo?e=1733961600&v=beta&t=Pn6EdssQK5geRcCz8GBN6JTyF_nth7YsaB7gFm74Ek4,"Carrefour België stelt meer dan 11.000 mensen te werk.  Met een 40'tal Hypermarkten Carrefour, meer dan 440 Carrefour Markets, 300 Carrefour Express-buurtwinkels en 200 Carrefour Drive-afhaalpunten is Carrefour België de eerste en enige winkelketen die de klant op elk moment in zijn leven en in elke consumptiefase helpt.

Dankzij zijn lokale verankering, in bijna elke gemeente, en zijn unieke aanbod van 11.000 lokale producten en ruim 4.000 bio- & welzijnsproducten is Carrefour België de partner bij uitstek in het dagelijkse leven. Daarom doen dagelijks 700.000 klanten, dus zo’n 80 % van de Belgische gezinnen per jaar, hun boodschappen bij Carrefour.

Carrefour België maakt deel uit van de Groupe Carrefour, eengrote voedingsretailer met meer dan 360.000 medewerkers. De groep is met meer dan 12.300 winkels actief in ruim 30 landen en zette met haar formats een omzet neer van 90,8 miljard euro in 2022.
---------------------------------------------------------------------------------
Carrefour Belgique emploie plus de 11.000 personnes. Avec quelque 40 Hypermarchés Carrefour, plus de 440 supermarchés Carrefour Market, 300 magasins de proximité Carrefour Express et 195 points de retrait Carrefour Drive, Carrefour Belgique est le premier et le seul distributeur à accompagner le client à chaque moment de sa vie et de sa consommation.

Grâce à son ancrage local, dans pratiquement chaque commune, et avec une offre unique de 11.000 produits locaux et de plus de 4.000 produits « Bio & Forme » Carrefour Belgique est le partenaire de la vie quotidienne. C’est ainsi que 700.000 clients par jour, soit environ 80% des foyers en Belgique par an font leurs courses chez Carrefour.

Carrefour Belgique fait partie du Groupe Carrefour, premier distributeur alimentaire mondial, qui emploie plus de 360 000 collaborateurs. Présent dans plus de 30 pays avec plus de 12.300 magasins, le groupe a réalisé un chiffre d’affaires de 90,8 milliards d’euros en 2022.",Yes
